97,174,239,213,255,97
134.063,176,243,190,255,134.0629
171.237,192,247,178,255,171.2371
208.3,224,251,178,255,208.3
245.363,248,249,172,255,245.3629
282.537,184,222,118,255,282.5371
319.6,110,194,74,255,319.6
356.663,39,165,42,255,356.6629
393.837,9,137,56,255,393.8371
430.9,52,136,60,255,430.9
467.963,110,150,52,255,467.9629
505.137,156,164,41,255,505.1371
542.2,207,177,28,255,542.2
579.263,248,176,4,255,579.2629
616.437,220,122,2,255,616.4371
653.5,192,74,2,255,653.5
690.563,163,36,2,255,690.5629
727.737,135,8,0,255,727.7371
764.8,118,16,2,255,764.8
801.863,116,24,5,255,801.8629
839.037,110,35,8,255,839.0371
876.1,108,42,10,255,876.1
913.163,110,52,18,255,913.1629
950.337,125,74,43,255,950.3371
987.4,140,101,76,255,987.4
1024.46,156,129,112,255,1024.4629
1061.64,167,160,156,255,1061.6371
1098.7,181,181,181,255,1098.7
1135.76,200,200,200,255,1135.7629
1172.94,218,216,218,255,1172.9371
1210,235,233,235,255,1210
